Tønsberg;Sommerdekk;WL6938112624200;20;688;Westlake;ZuperEco Z-107;155;80;13;EU:D-B-70dB(B);79;T;20
Tønsberg;Sommerdekk;WL6938112602536;2;1788;Westlake;SL369 AT;225;75;16;EU:D-D-72dB(B);108;S;20
Trondheim;Sommerdekk;PI3882000;8;2422;Pirelli;Powergy;245;40;18;EU:B-A-71dB(B);97;Y;20
Trondheim;Sommerdekk;PI3882600;4;2655;Pirelli;Powergy;225;45;18;EU:B-A-70dB(B);95;Y;20
Trondheim;Sommerdekk;PI3882700;8;3022;Pirelli;Powergy;255;35;19;EU:B-A-71dB(B);96;Y;20
Trondheim;Sommerdekk;PI3882800;12;2566;Pirelli;Powergy;235;35;19;EU:B-A-71dB(B);91;Y;20
Trondheim;Sommerdekk;PI3883300;8;3444;Pirelli;Powergy;245;45;19;EU:B-A-70dB(B);102;Y;20
Jæren;Sommerdekk;MNMV015742;1;1655;Minerva;Transport RF19;215;75;16;EU:C-C-71dB(B);113;S;20
Trondheim;Sommerdekk;PI3925100;16;2555;Pirelli;Powergy;225;55;17;EU:B-A-68dB(A);101;Y;20
Trondheim;Sommerdekk;PI3925800;12;2488;Pirelli;Powergy;225;55;18;EU:B-A-68dB(A);98;V;20
Trondheim;Sommerdekk;PI4059900;8;6208;Pirelli;P-Zero (PZ4) T1 K1 PNCS™ ELECT™;255;35;21;EU:B-B-70dB(A);98;W;20
Trondheim;Sommerdekk;PI4314000;16;6600;Pirelli;P-Zero (PZ4) NF1 ELECT™;265;35;21;EU:C-A-72dB(B);101;Y;20
Bergen;Alufelger;PHET85T939-0MB18S;2;2515;PH Edition II;Turbin 8,5";5;120;20;Matt Black (900 Kg);ET39;72,6;0
Kristiansand;Alufelger;AUI7518505054316;4;1850;Autec;Ionik 7.5";5;108;18;Black Matt Polished (740 Kg);ET50,5;63,4;0
Kristiansand;M+S;NOT432252;3;5076;Nokian;Hakkapeliitta R5 SUV;275;60;20;EU:B-D-71dB(B);115;R;20
Trondheim;Sommerdekk;PI3884100;4;3888;Pirelli;Powergy;255;40;20;EU:B-A-70dB(A);101;Y;20
